FID,Node,Surface_El,Elevation,Dwn_Length,Dwn_Node,X,Y
63,D109151,4232.146,999,372.988287,D109138,1524295.908,7439495.087
64,D099118,4233.9014,999,256.730196,D099061,1525030.307,7439491.138
65,D099060,4232.7739,999,36.955781,D099056,1524644.948,7439487.746
66,D099063,4233.2974,999,18.174944,D099062,1524709.597,7439470.414
67,D100011,4230.8608,999,194.140864,D100032,1524709.172,7438258.216
70,D123049,4227.5732,999,553.088498,D123043,1520851.565,7437937.798
71,D123055,4227.6553,999,53.787428,D123052,1520851.927,7437932.748
72,D122103,4226.5957,999,65.488556,D122096,1520739.71,7439512.179
75,D122163,4225.5259,999,183.907876,D122103,1520923.541,7439506.864
76,D122104,4226.1997,999,126.691817,D122103,1521050.229,7439505.848
77,D123034,4227.4214,999,261.327136,D123029,1519778.108,7437924.095
78,D110044,4231.7856,999,296.788678,D123072,1522060.315,7437922.711
79,D123043,4228.0034,999,454.118882,D123033,1520299.171,7437918.757
80,D100070,4232.0859,999,283.097198,D100062,1525778.894,7437916.894
81,D100062,4231.3325,999,200.446088,D100227,1525495.797,7437916.645
83,D123150,4227.2422,999,98.307449,D123030,1519616.459,7437914.726
84,D123051,4228.0625,999,300.234027,D123044,1520597.151,7437914.466
85,D123039,4227.7793,999,39.570406,D123152,1520032.883,7437914.108
86,D109106,4228.5635,999,178.896561,D109101,1522655.343,7439497.25
87,D109117,4230.1621,999,90.304225,D109114,1523175.146,7439496.95
88,D109138,4231.5815,999,56.635206,D109129,1523922.922,7439496.434
90,D099056,4232.5259,999,200.90216,D099121,1524608.007,7439488.798
91,D099062,4233.3496,999,64.522611,D099060,1524709.465,7439488.588
92,D091098,4247.8379,999,108.590697,D091094,1529513.422,7437902.803
93,D079045,4269.2256,999,301.842945,D079043,1531555.328,7437895.667
94,D123500,4227.1631,999,277.745352,D136077,1519160.078,7437893.257
95,D091087,4243.353,999,30.571342,D091222,1528684.251,7437890.942
96,D067064,4285.1953,999,231.025473,D067062,1532906.373,7437882.68
97,D067038,4281.3423,999,111.53949,D067060,1532650.179,7437879.621
98,D053071,4345.0381,999,490.827001,D067058,1534951.401,7437876.693
99,D100009,4231.2207,999,190.57246,D100010,1524710.4,7438538.425
100,D136069,4227.5244,999,0,8Outfall,1518721.673,7437827.967
101,D100034,4230.4102,999,68.216166,D100030,1524708.386,7437966.348
102,D123054,4227.4194,999,63.882657,D123050,1520850.636,7437942.635
103,D136077,4228.5957,999,66.691371,D136075,1518903.546,7437786.795
